eee,label,group_label
AAO,OTHER ASIAN,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-A,ARAB / MIDDLE EAST,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-AF,AFGHANISTANI,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-IR,IRANIAN,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-JP,JAPANESE,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-KR,SOUTH KOREAN,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-LK,SRI LANKAN,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-MM,BURMESE,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-MR,MAURITIAN,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-PH,FILIPINO,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-S,SOUTH ASIAN,ASIAN - ANY OTHER ASIAN BACKGROUND
AAO-VN,VIETNAMESE,ASIAN - ANY OTHER ASIAN BACKGROUND
ABD,BANGLADESHI,ASIAN - BANGLADESHI
ACN,CHINESE,ASIAN - CHINESE
ACN-HK,HONG KONGESE,ASIAN - CHINESE
ACN-M,MALAYSIAN,ASIAN - CHINESE
AIN,INDIAN,ASIAN - INDIAN
AIN-B,BENGALI,ASIAN - INDIAN
AIN-H,HINDI,ASIAN - INDIAN
AIN-I,INDIAN HINDI,ASIAN - INDIAN
AIN-KE,KENYAN ASIAN,ASIAN - INDIAN
AIN-N,INDIA NORTH,ASIAN - INDIAN
AIN-S,SIKH,ASIAN - INDIAN
AIN-X,OTHER INDIAN,ASIAN - INDIAN
APK,PAKISTANI,ASIAN - PAKISTANI
APK-K,PAKISTANI KASHMIR,ASIAN - PAKISTANI
BAF,BLACK AFRICAN,BLACK - AFRICAN
BAF-AO,ANGOLAN,BLACK - AFRICAN
BAF-CD,CONGOLESE,BLACK - AFRICAN
BAF-ER,ERITREAN,BLACK - AFRICAN
BAF-ET,ETHIOPIAN,BLACK - AFRICAN
BAF-GH,GHANAIAN,BLACK - AFRICAN
BAF-KE,KENYAN,BLACK - AFRICAN
BAF-M,MUSLIM INDIAN,BLACK - AFRICAN
BAF-NG,NIGERIAN,BLACK - AFRICAN
BAF-SL,SIERRA LEONIAN,BLACK - AFRICAN
BAF-SO,SOMALIAN,BLACK - AFRICAN
BAF-UG,UGANDAN,BLACK - AFRICAN
BAF-W,WEST AFRICAN MUSLIM,BLACK - AFRICAN
BAF-Z,BLACK SOUTHERN AFRICAN,BLACK - AFRICAN
BAF-ZM,ZAMBIAN,BLACK - AFRICAN
BAF-ZW,ZIMBABWEAN,BLACK - AFRICAN
BCA,BLACK CARIBBEAN,BLACK - CARIBBEAN
OXX,OTHER ETHNIC GROUP,MIXED ETHNIC GROUPS - ANY OTHER MIXED BACKGROUND
OXX-DZ,ALGERIAN,MIXED ETHNIC GROUPS - ANY OTHER MIXED BACKGROUND
OXX-M,MUSLIM,MIXED ETHNIC GROUPS - ANY OTHER MIXED BACKGROUND
OXX-MA,MOROCCAN,MIXED ETHNIC GROUPS - ANY OTHER MIXED BACKGROUND
WAO,WHITE OTHER,WHITE - ANY OTHER WHITE BACKGROUND
WAO-A,CASTILLIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-AL,ALBANIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-AM,ARMENIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-B,BALKAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-BA,BOSNIAN AND HERZEGOVIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-BE,BELGIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-BG,BULGARIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-BR,BRAZILIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-C,CATALAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-CY,GREEK CYPRIOT,WHITE - ANY OTHER WHITE BACKGROUND
WAO-CZ,CZECH,WHITE - ANY OTHER WHITE BACKGROUND
WAO-DE,GERMAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-DK,DANISH,WHITE - ANY OTHER WHITE BACKGROUND
WAO-E,EUROPEAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-ES,SPANISH,WHITE - ANY OTHER WHITE BACKGROUND
WAO-F,BELGIAN FLEMISH,WHITE - ANY OTHER WHITE BACKGROUND
WAO-FI,FINNISH,WHITE - ANY OTHER WHITE BACKGROUND
WAO-FR,FRENCH,WHITE - ANY OTHER WHITE BACKGROUND
WAO-G,GALICIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-GR,GREEK,WHITE - ANY OTHER WHITE BACKGROUND
WAO-H,HISPANIC,WHITE - ANY OTHER WHITE BACKGROUND
WAO-HR,CROATIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-HU,HUNGARIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-IT,ITALIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-J,JEWISH,WHITE - ANY OTHER WHITE BACKGROUND
WAO-JE,CHANNEL ISLANDER,WHITE - ANY OTHER WHITE BACKGROUND
WAO-L,LATIN AMERICAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-LT,LITHUANIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-LV,LATVIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-MK,MACEDONIAN,WHITE - ANY OTHER WHITE BACKGROUND
WAO-MT,MALTESE,WHITE - ANY OTHER WHITE BACKGROUND
WAO-N,NORDIC,WHITE - ANY OTHER WHITE BACKGROUND
